Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"Goods exports (BoP, current US$)",453800000,252300000,,,,,,,,,,,,,,,,,,,563299197.5,408756401.3,435773347.6,460318410.7,475530985.2,505792648.2,641767413.5,577859765.7,614217572.1,783962916.8,875242667.4,863834412.2,776734541.8,,
Albania,"Goods exports (BoP, current US$)",344600000,393700000,322100000,73000000,70000000,111600000,141300000,204900000,243700000,90900000,100670000,91700000,95200000,109500000,85180000,100716315.5,149032362.1,194117835.6,223619399.4,359838412,546214691.5,403524040.6,739411255.8,962502319,1123281061,1417739063,1239878797,855336790.7,789221582.4,901243616.8,1163648667,1014731695,908550736.1,1494341013,2037015150
Algeria,"Goods exports (BoP, current US$)",7620249883,9533869206,12963761314,12330295095,,,,,,,,,,,,,,46334000000,54740000000,60490141391,78062556459,45174562427,57098374720,72779523484,71438958670,64817044407,60033584184,34449182418,29316936939,34569616296,41123518094,35312712054,21914992637,38628351310,65502134507
Andorra,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129972471.3,169400776.7,176790152,
Angola,"Goods exports (BoP, current US$)",2492000000,3014000000,3883900000,3449300000,3832800000,2900500000,3016600000,3722700000,5095000000,5006760000,3542870000,5156530000,7920710000,6534320000,8327889093,9508176643,13475002110,24109411611,31862236056,44396193769,63913941114,40827945316,50594853215,67310283732,71093269880,68246518071,59169884895,33181130226,27588875075,34613454928,40757766797,34725561391,20937437118,33581489803,50037992660
Antigua and Barbuda,"Goods exports (BoP, current US$)",28192592.59,29144444.44,33425925.93,55203703.7,75007407.41,62077777.78,44448148.15,53144444.44,38033333.33,37874074.07,36433333.33,37875585.19,52353966.67,44649629.63,33639382.22,44725100.37,57061044.44,82670221.48,73995931.11,59283601.85,65385681.11,50741039.63,45715381.11,56150986.3,59042074.07,64197195.56,98707946.47,67572501.53,50060382.71,37177841.74,42970058.47,50071207.31,34450036.75,47561919.1,50989516.36
Argentina,"Goods exports (BoP, current US$)",9134000000,9573000000,12354000000,11978000000,12397400000,13262600000,16026700000,21141832000,24034600000,26420900000,26408700000,23287800000,26337200000,26528000000,25634300000,29950400000,34588800000,40434150000,46617500000,56076562000,70159472000,55790984000,68305873000,83119709000,80083655000,75928228361,68440435907,56809053493,57959933691,58661873552,61801002638,65162061725,54945509699,77986711230,88515083086
Armenia,"Goods exports (BoP, current US$)",,,,,,156190000,215350000,275019740,292039423,233966582,232508497,246894782,313760102,369336820,554555704,724987013,770352079.8,1028698417,1052970724,1204225219,1106287496,773615111,1197479193,1431559506,1515701955,1635856170,1698148850,1623898609,1892025433,2387607345,2724729181,3360716479,2718848500,3276624686,5717869651
Aruba,"Goods exports (BoP, current US$)",87374301.68,107486033.5,155474860.3,878770949.7,1069217877,1154357542,1296759777,1346145251,1734860335,1728324022,1164469274,282519553.1,234692737.4,191899441.3,223798882.7,159273743,3434581006,4416215839,4717024446,5206592179,5456592179,1951843575,264525139.7,5180167598,1388882682,273755743.3,254540473.1,329660020.5,284021038.1,134600398.1,184801641.6,130708110.2,87331576.42,123003045.7,205274645.9
Australia,"Goods exports (BoP, current US$)",,37237292830,39732496801,42447458921,42915586221,42716537707,47436944947,53307054295,60515586486,64969123661,55848921246,56029835314,64039984645,63666859386,65090759267,70510644519,87128030619,1.06942E+11,1.24641E+11,1.42513E+11,1.88947E+11,1.54778E+11,2.1381E+11,2.71926E+11,2.5839E+11,2.54152E+11,2.40656E+11,1.88212E+11,1.92876E+11,2.31536E+11,2.57958E+11,2.71522E+11,2.51418E+11,3.45278E+11,4.13411E+11
