Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"Goods imports (BoP, current US$)",731800000,623500000,,,,,,,,,,,,,,,,,,,2978918383,3215894021,4688147552,5650088842,7991393125,8526069938,6748012293,7246177416,6209193784,6716214782,6620779250,6158190050,5877640991,,
Albania,"Goods imports (BoP, current US$)",382300000,455800000,455900000,281000000,540500000,601500000,601000000,679700000,922000000,570600000,654210000,783100000,921000000,1151000000,1237300000,1463316336,1837926826,2117458690,2499761212,3419700000,4356803971,3796274373,3775932876,4460790005,3981753339,4029275073,4170432937,3403344745,3670525694,4105844352,4544969329,4532093325,4328412669,6007913365,6503606376
Algeria,"Goods imports (BoP, current US$)",6674650451,8372282528,8776771070,6852425516,,,,,,,,,,,,,,19817000000,20520000000,26408223359,37979983494,37384686145,38797066194,46800967101,51508891624,54871842664,59457444971,52261207236,49316882927,48810762377,48284091542,44320173282,34907242969,37395033176,38692933282
Andorra,"Goods imports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473761457,1222357791,1503879369,
Angola,"Goods imports (BoP, current US$)",1372000000,1338000000,1578200000,1347200000,1988034000,1462600000,1454100000,1467668000,2040461000,2597000000,2079350000,3109080000,3039510000,3179180000,3760118415,5480121172,5831784556,8353237654,8777632624,13661464164,20982185983,22659935299,16666858027,20228447302,23703843194,26330987036,28580270906,20692537061,13040490878,14463243324,15797847354,14127058397,9543140273,11794847514,17267321011
Antigua and Barbuda,"Goods imports (BoP, current US$)",204500000,246329629.6,235440740.7,258785185.2,261770370.4,270429629.6,287503703.7,291040740.7,309940740.7,313855555.6,320837037,352705185.2,342390740.7,317498518.5,302992222.2,352284404.1,402358690.4,455354766.7,559702264.4,648910963,669885794.1,478906695.6,453883553,430720477,483547436.7,494380492.2,532352266.3,426109557.4,443151157.4,493872461.4,622729546.1,626763854.2,440324785.3,525235652.1,713805629.6
Argentina,"Goods imports (BoP, current US$)",4892000000,3864000000,3726000000,7559000000,13794800000,15632500000,20162200000,18804317000,22283200000,28553500000,29530900000,24103200000,23889100000,19157800000,8473100000,13134200000,21311100000,27300100000,32587900000,42524500000,54596200000,37146134000,54158763702,70768777913,65042742213,71292993120,62898966094,57594229886,53543776749,64108936659,62544230316,46928338267,40314811522,59291110550,76162545003
Armenia,"Goods imports (BoP, current US$)",,,,,,254180000,393630000,674059047,761292249,794611533,806842471,708235278,780696904,787782645,903938512.4,1176352249,1261022093,1663370578,1999936187,2921095488,3922614049,2863596972,3263209402,3541391955,3627612271,3832017543,3753551044,2810299283,2868888078,3792813516,4488140884,5082823441,4101001973,4781393739,7577110320
Aruba,"Goods imports (BoP, current US$)",354636871.5,397430167.6,580837988.8,1402849162,1446703911,1546480447,1607318436,926927374.3,768826815.6,836815642.5,966703910.6,923050279.3,858039106.1,974614525.1,974055865.9,1063111732,3589044693,4296239004,4724341246,5126033520,6017988827,2453184358,1394245810,5916759777,2044916201,1367549840,1346096340,1250416886,1138318462,1123889865,1224388147,1204403839,863180742.6,1060885928,1370746755
Australia,"Goods imports (BoP, current US$)",,40461945641,39236085998,38782895982,41100809474,42641871557,50624768683,57543973205,61005952689,63033171009,61075069811,65686465016,68928612291,62006172594,70731725170,86235633642,1.05747E+11,1.21207E+11,1.36761E+11,1.63676E+11,1.96734E+11,1.62253E+11,2.02474E+11,2.49182E+11,2.66665E+11,2.46866E+11,2.3848E+11,2.07225E+11,1.98703E+11,2.21064E+11,2.37122E+11,2.23427E+11,2.10907E+11,2.578E+11,3.01015E+11
Austria,"Goods imports (BoP, current US$)",,,,,,,,,,,,,,,,,,1.13094E+11,1.2627E+11,1.5148E+11,1.70246E+11,1.32494E+11,1.46872E+11,1.75314E+11,1.64244E+11,1.65643E+11,1.66436E+11,1.40783E+11,1.42629E+11,1.57049E+11,1.74896E+11,1.66187E+11,1.56073E+11,1.98936E+11,2.10629E+11
Azerbaijan,"Goods imports (BoP, current US$)",,,,,,,,985432000,1337583000,1375164000,1723903000,1433392000,1539005000,1465064000,1802888000,2703993000,3464352000,4151643000,4953862000,5876763000,7305041000,6113466000,6306941000,9867911000,9963489000,11172912000,9332001000,9773629000,9004176000,9037316000,10952441000,11335316000,10076564000,10418668000,13509216000
"Bahamas, The","Goods imports (BoP, current US$)",982900000,1131800000,1080000000,1046300000,984300000,930200000,1013800000,1156700000,1287400000,1410700000,1737100000,1677200000,1983100000,1804200000,1749032786,1758560000,1906820000,2377432028,2766500000,2956922389,3199041000,2535793000,2591499000,2965656000,3385465000,3165946000,3344241610,2954035033,2631619793,3109004930,3316814472,3009200306,2023990102,3241131678,
Bahrain,"Goods imports (BoP, current US$)",2334042553,2820212766,3524202128,3880585106,3992287234,3616223508,3497340751,3488298143,4036968434,3778191841,3298670542,3452606574,4375292553,4029095745,4678484043,5298377660,6922632979,8870744681,9953803191,10925398936,14246276596,9613031915,11190425532,12105851064,19704521277,21280053191,19784521277,15709574468,13588297872,16076063830,19110106383,,,,
Bangladesh,"Goods imports (BoP, current US$)",2734413290,3300061977,3259359364,3074451943,3353792987,3657270508,4350523388,6057382132,6262798752,6547213631,6713513691,7518730002,8025436323,8116709373,7709385246,9352938336,11021263833,12343724235,14245655500,16469841980,21411065855,19677718237,25081635495,32607377241,32170683011,35000571811,37406403143,37856277963,40365988424,48266578855,55966038848,54675863194,48849737649,74432695834,81660005249
Barbados,"Goods imports (BoP, current US$)",549214440.8,639235417.3,664510440.1,659303066.3,495109447.7,544547552.3,576725429.1,729189647.9,786390121.3,939740305.5,969303486.3,1034681118,1075933113,996434615.4,1001884556,1118667356,1320779210,1499394781,1580005517,1679209029,1783572212,1348209014,1483924497,1712001917,1667813428,1661009309,1624359959,1530568363,1546242014,1525914498,,,,,
Belarus,"Goods imports (BoP, current US$)",,,,,,2498000000,2999800000,5468700000,6938600000,8325700000,7666900000,6213100000,7062900000,7664900000,8224300000,10702000000,15470600000,16053700000,21350300000,27584400000,38121500000,27700300000,33794800000,44394400000,45008900000,41133500000,38058700000,28306800000,25611100000,31669100000,35932600000,36525700000,30388600000,39789100000,37259000000
Belgium,"Goods imports (BoP, current US$)",,,,,,,,,,,,,,,1.46931E+11,1.63378E+11,1.98672E+11,2.24065E+11,2.44113E+11,2.85361E+11,3.29799E+11,2.46203E+11,2.76154E+11,3.3741E+11,3.13264E+11,3.2154E+11,3.17989E+11,2.4887E+11,2.67136E+11,2.97666E+11,3.29111E+11,3.13776E+11,2.89312E+11,3.73146E+11,4.30062E+11
Belize,"Goods imports (BoP, current US$)",161250000,188500000,188400000,223600000,244500000,250500000,231850000,230602000,229510000,282905000,290907500,364949417.5,467658722.3,468020205.9,490485755.8,510452424.3,465054151.9,544213649.4,597872245.1,634717661,788239253.8,620512128.6,647223347.8,778175075.1,836979649.9,875907313.1,925532396.2,961264733.3,916128466.5,847365602.8,917235592.7,968501300.9,731431930,956086049.8,1223635879
Benin,"Goods imports (BoP, current US$)",331351989.9,250570283.4,323369028.6,673368833.1,560537952.4,561358073.1,451503566.1,622454732.7,557799715.4,576868370.9,572394752.5,633010349.6,516053905.1,553311368.6,681154361.7,820366945.1,841241050,863706926.7,1042891034,1603710667,1897358568,1744766053,1776908237,1802712674,2001978084,2594443523,3278021818,2916041759,2946203943,3324208323,3899915261,3500936737,3152060630,3994489087,
Bermuda,"Goods imports (BoP, current US$)",,,,,,,,,,,,,,,,,,,1094330000,1165781450,1159195103,1064348743,988034768.2,900408833.8,900357454.4,1011521573,969157591.4,939692650.8,979798198.4,1094499642,1100477023,1152014837,926883082.2,1085104950,
Bhutan,"Goods imports (BoP, current US$)",,,,,,,,,,,,,,,,,,,434879698.3,496896082.9,644938089.7,583447699.4,795022573.2,1127988408,1012422491,923477953.7,928824753.2,1008584799,1029908146,1025082315,1020219250,1010506904,962955628.8,890354684.3,1378741860
Bolivia,"Goods imports (BoP, current US$)",590900000,729500000,775600000,804200000,1040800000,1111700000,1015300000,1223700000,1368000000,1643600000,1759500000,1539000000,1610160000,1580000000,1638700000,1497372825,1724732878,2182590109,2632100970,3243473509,4764087001,4143570000,5006774120,7126366595,7997488635,8729181721,9893765587,9071898887,7930773107,8680869448,9301944792,9085852594,6333861464,8740127639,11845717277
Bosnia and Herzegovina,"Goods imports (BoP, current US$)",,,,,,,,,,,3779445240,4128683221,3894169621,4091960798,4449368034,5636814047,6656351838,7454235179,7679400863,8454309287,10803203856,7984414678,8253151005,9858446208,9088623611,9337199376,9980538889,8146989600,8365274531,9701333121,10821238645,10383266367,9167679113,11999255997,14264802323
Botswana,"Goods imports (BoP, current US$)",986936638.3,1185079552,1610940629,1603961963,1556600979,1455382107,1364276959,1605435862,1463263305,1920977987,1980091484,1873477402,1773065063,1704466668,1740623519,2260455250,3042694539,2850552646,2783218036,4006999508,5175295550,4645992421,5681110011,7210239078,7823150307,8100674731,7775614587,6974017832,5896824405,5150690672,6108331589,6325765427,6289874196,8074175502,7756801340
